epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,30175,0.6432,0.35685,1.01267,0.98732,0.97484,0.98716,0.79336,0.78593,0.43365,1.09516,0.0006436,0.0006436,0.0006436
74,30537.6,0.64309,0.35451,1.01273,0.98741,0.97571,0.98764,0.80071,0.76161,0.42292,1.07871,0.00063865,0.00063865,0.00063865
75,30894.6,0.64563,0.35443,1.0129,0.98844,0.97515,0.98787,0.79735,0.77575,0.42428,1.08771,0.0006337,0.0006337,0.0006337
76,31249.2,0.64149,0.35219,1.01359,0.9856,0.97497,0.98748,0.79557,0.77956,0.42734,1.08875,0.00062875,0.00062875,0.00062875
77,31606.6,0.63898,0.34958,1.01244,0.98314,0.97533,0.98757,0.79658,0.77494,0.42848,1.08687,0.0006238,0.0006238,0.0006238
78,31967,0.63109,0.34757,1.00596,0.98594,0.97459,0.98772,0.79731,0.76853,0.42277,1.08349,0.00061885,0.00061885,0.00061885
79,32329.2,0.63546,0.34951,1.01236,0.98583,0.9741,0.9874,0.79398,0.77442,0.4253,1.08628,0.0006139,0.0006139,0.0006139
80,32686,0.63345,0.34601,1.00993,0.9867,0.9741,0.98719,0.79462,0.76375,0.42428,1.0798,0.00060895,0.00060895,0.00060895
81,33041.8,0.62747,0.34264,1.00813,0.98708,0.97545,0.98716,0.79668,0.76103,0.42282,1.07897,0.000604,0.000604,0.000604
82,33399.6,0.62752,0.34225,1.0066,0.99092,0.97339,0.98756,0.79862,0.75866,0.41945,1.0781,0.00059905,0.00059905,0.00059905
83,33754.3,0.62841,0.34101,1.00511,0.98955,0.97418,0.98755,0.79751,0.76516,0.42019,1.08191,0.0005941,0.0005941,0.0005941
84,34112.4,0.62726,0.33929,1.00753,0.98709,0.97596,0.98777,0.79846,0.76556,0.41931,1.08339,0.00058915,0.00058915,0.00058915
85,34467.2,0.62244,0.33681,1.00271,0.98832,0.97508,0.98772,0.79659,0.76449,0.41638,1.08345,0.0005842,0.0005842,0.0005842
86,34823.2,0.61947,0.33523,1.00151,0.98644,0.97608,0.98787,0.79899,0.75908,0.41601,1.08098,0.00057925,0.00057925,0.00057925
87,35179.7,0.62061,0.33581,1.00503,0.98585,0.97579,0.98776,0.79874,0.75809,0.4146,1.07976,0.0005743,0.0005743,0.0005743
88,35539.5,0.62299,0.3351,1.00556,0.98523,0.97572,0.98771,0.79991,0.7546,0.41352,1.07787,0.00056935,0.00056935,0.00056935
89,35900.8,0.61731,0.33259,1.00079,0.98559,0.97495,0.98788,0.79957,0.75413,0.41271,1.07729,0.0005644,0.0005644,0.0005644
90,36262.2,0.61672,0.33073,1.00121,0.98536,0.976,0.98804,0.80063,0.75205,0.40964,1.0758,0.00055945,0.00055945,0.00055945
91,378.449,0.61373,0.33001,1.00175,0.98458,0.97658,0.98825,0.80142,0.75088,0.40999,1.07494,0.0005545,0.0005545,0.0005545
92,743.499,0.61763,0.333,1.00049,0.98389,0.97644,0.98808,0.80257,0.74946,0.40873,1.07452,0.00054955,0.00054955,0.00054955
93,1111.86,0.61015,0.32888,1.00027,0.98401,0.97638,0.98809,0.80193,0.75191,0.40785,1.07601,0.0005446,0.0005446,0.0005446
94,1488.26,0.61114,0.32896,0.99792,0.98402,0.97662,0.98812,0.80256,0.7504,0.40798,1.07463,0.00053965,0.00053965,0.00053965
95,1867.39,0.61125,0.3273,0.99858,0.98328,0.97621,0.98805,0.80207,0.7528,0.40947,1.07651,0.0005347,0.0005347,0.0005347
96,2272.96,0.60618,0.32534,0.99748,0.98365,0.97658,0.9881,0.80316,0.75217,0.40852,1.07685,0.00052975,0.00052975,0.00052975
97,2682.59,0.61004,0.32515,0.99927,0.98351,0.97695,0.98799,0.80128,0.7549,0.40985,1.07856,0.0005248,0.0005248,0.0005248
98,3092.59,0.61085,0.32539,1.00039,0.98356,0.97559,0.98763,0.79969,0.75623,0.40898,1.07889,0.00051985,0.00051985,0.00051985
99,3505.11,0.60293,0.32412,0.99674,0.98413,0.97596,0.98758,0.80031,0.75443,0.40803,1.0779,0.0005149,0.0005149,0.0005149
100,3920.9,0.60138,0.32031,0.99375,0.98461,0.97546,0.98786,0.79953,0.7521,0.40762,1.07596,0.00050995,0.00050995,0.00050995
101,4361.72,0.60217,0.32062,0.99557,0.98443,0.97633,0.98792,0.80088,0.74785,0.40744,1.07304,0.000505,0.000505,0.000505
102,4774.98,0.59956,0.31894,0.99586,0.98298,0.9767,0.98798,0.80188,0.74602,0.40691,1.07194,0.00050005,0.00050005,0.00050005
103,5187.02,0.60252,0.31759,0.99555,0.98302,0.9772,0.98804,0.80227,0.7457,0.4053,1.07205,0.0004951,0.0004951,0.0004951
104,5602.23,0.5984,0.3173,0.99487,0.9828,0.97725,0.98812,0.80227,0.7463,0.40394,1.07227,0.00049015,0.00049015,0.00049015
105,6015.16,0.60006,0.31749,0.99294,0.98338,0.9772,0.98826,0.8031,0.74537,0.40342,1.07153,0.0004852,0.0004852,0.0004852
106,6430.19,0.59289,0.31475,0.9931,0.98329,0.97717,0.98822,0.80388,0.74416,0.40272,1.07102,0.00048025,0.00048025,0.00048025
107,6838.59,0.59737,0.3153,0.99439,0.98366,0.97711,0.98836,0.80342,0.74423,0.40213,1.0715,0.0004753,0.0004753,0.0004753
108,7242.87,0.59841,0.31558,0.99437,0.98352,0.97646,0.98828,0.80363,0.74359,0.40161,1.07114,0.00047035,0.00047035,0.00047035
109,7656.81,0.59952,0.31437,0.99274,0.98386,0.97658,0.98834,0.80411,0.74264,0.40119,1.07037,0.0004654,0.0004654,0.0004654
110,8072.74,0.59646,0.31302,0.98993,0.98411,0.97645,0.98834,0.80493,0.74145,0.40053,1.06937,0.00046045,0.00046045,0.00046045
111,8485.7,0.59543,0.31302,0.99008,0.98429,0.97645,0.98841,0.80562,0.74064,0.40004,1.06884,0.0004555,0.0004555,0.0004555
112,8900.48,0.5908,0.30978,0.99037,0.98427,0.97732,0.98835,0.80555,0.7403,0.39978,1.06849,0.00045055,0.00045055,0.00045055
113,9317.11,0.58915,0.30925,0.99165,0.98466,0.9767,0.98834,0.80557,0.74049,0.39967,1.06872,0.0004456,0.0004456,0.0004456
114,9734.6,0.58308,0.30868,0.98736,0.98449,0.97645,0.98837,0.80613,0.73982,0.39965,1.06838,0.00044065,0.00044065,0.00044065
115,10156.1,0.58445,0.30604,0.98829,0.98525,0.97633,0.98843,0.80649,0.73898,0.39896,1.06804,0.0004357,0.0004357,0.0004357
116,10573.8,0.58857,0.30733,0.9878,0.98512,0.97664,0.98853,0.80729,0.73737,0.39814,1.06746,0.00043075,0.00043075,0.00043075
117,10992.6,0.58382,0.30713,0.9882,0.98552,0.97645,0.98858,0.80749,0.73704,0.39743,1.06745,0.0004258,0.0004258,0.0004258
118,11413.3,0.57966,0.30537,0.98532,0.98561,0.97638,0.98865,0.80814,0.73568,0.39656,1.06696,0.00042085,0.00042085,0.00042085
119,11827.3,0.58048,0.30305,0.98299,0.98586,0.97651,0.98872,0.80835,0.73502,0.39589,1.0667,0.0004159,0.0004159,0.0004159
120,12244.4,0.58497,0.30401,0.98838,0.98658,0.97608,0.98873,0.80853,0.73487,0.39548,1.06672,0.00041095,0.00041095,0.00041095
121,12662.8,0.58319,0.3038,0.98563,0.98573,0.97645,0.98877,0.80859,0.73475,0.39507,1.06675,0.000406,0.000406,0.000406
122,13087.5,0.57964,0.30283,0.98684,0.98627,0.97645,0.98885,0.80834,0.73526,0.39472,1.06722,0.00040105,0.00040105,0.00040105
123,13507.5,0.57578,0.30053,0.9841,0.98672,0.97626,0.98885,0.80843,0.73488,0.39437,1.06708,0.0003961,0.0003961,0.0003961
124,13932.3,0.5743,0.29977,0.98241,0.98627,0.97645,0.98886,0.8084,0.73486,0.39388,1.06719,0.00039115,0.00039115,0.00039115
125,14352.2,0.57546,0.29889,0.98321,0.98574,0.97628,0.98876,0.80871,0.7337,0.39345,1.0666,0.0003862,0.0003862,0.0003862
126,14774.3,0.57255,0.29662,0.97912,0.98446,0.9772,0.98878,0.80866,0.73261,0.39278,1.06605,0.00038125,0.00038125,0.00038125
127,15191.3,0.57618,0.29789,0.9841,0.9844,0.9776,0.9887,0.80915,0.73192,0.39214,1.06575,0.0003763,0.0003763,0.0003763
128,15607.6,0.57179,0.29672,0.98104,0.98443,0.97757,0.9887,0.80932,0.73104,0.3916,1.06543,0.00037135,0.00037135,0.00037135
129,16024.4,0.57207,0.29679,0.98258,0.98428,0.97761,0.98869,0.80961,0.73029,0.39104,1.06513,0.0003664,0.0003664,0.0003664
130,16444.3,0.56845,0.29452,0.9809,0.98422,0.97769,0.98871,0.80984,0.72923,0.39061,1.06458,0.00036145,0.00036145,0.00036145
131,16857.6,0.56986,0.29455,0.97892,0.9844,0.97782,0.98871,0.80991,0.72897,0.39037,1.06449,0.0003565,0.0003565,0.0003565
132,17279.4,0.5706,0.29481,0.98092,0.98489,0.97775,0.98873,0.81015,0.72859,0.39008,1.06435,0.00035155,0.00035155,0.00035155
133,17699.9,0.56721,0.29278,0.97978,0.98478,0.97817,0.98879,0.81051,0.72773,0.38964,1.06396,0.0003466,0.0003466,0.0003466
134,18122.6,0.56482,0.29269,0.97983,0.98417,0.97874,0.98885,0.81074,0.72689,0.38919,1.06358,0.00034165,0.00034165,0.00034165
135,18540.9,0.5634,0.29202,0.98063,0.98418,0.97894,0.98883,0.81062,0.72619,0.38879,1.06323,0.0003367,0.0003367,0.0003367
136,18965.1,0.56175,0.29164,0.97818,0.98418,0.97947,0.98884,0.81099,0.72564,0.38852,1.06289,0.00033175,0.00033175,0.00033175
137,19389,0.56444,0.29069,0.98027,0.98414,0.97943,0.98886,0.81118,0.72498,0.38817,1.06255,0.0003268,0.0003268,0.0003268
138,19814.3,0.55924,0.28803,0.97329,0.98407,0.97969,0.98884,0.81119,0.72463,0.38794,1.06243,0.00032185,0.00032185,0.00032185
139,20234.9,0.55997,0.28845,0.97213,0.98395,0.97982,0.98884,0.81134,0.72397,0.3876,1.06211,0.0003169,0.0003169,0.0003169
140,20659.9,0.55531,0.28863,0.97523,0.984,0.97955,0.98885,0.81155,0.72334,0.38728,1.06181,0.00031195,0.00031195,0.00031195
